表示語	解析語
Retio	Retio
Rinaldo	Rinaldo
RNA	RNA
Rodoso	Rodoso
Rodrigo	Rodrigo
Rogacio	Rogacio
Rolando	Rolando
Rom-Germana	Rom-Germana
Romandio	Romandio
Romanĉio	Romanĉio
Ronsardo	Ronsardo
Roĝero	Roĝero
Rusiljono	Rusiljono
Rutenujo	Rutenujo
Sabenujo	Sabenujo
Sadio	Sadio
Saksujo	Saksujo
Salamiso	Salamiso
Sankta-Georgo	Sankta-Georgo
Sankta-Johano	Sankta-Johano
Sankta-Lucio	Sankta-Lucio
Sansimonisto	Sansimonisto
Sanĥeribo	Sanĥeribo
Sardanapalo	Sardanapalo
Sardeso	Sardeso
Sardujo	Sardujo
Sarlando	Sarlando
Sarmatujo	Sarmatujo
Saro	Saro
Sartra	Sartra
Sasanidoj	Sasanidoj
Saulo	Saulo
Savoja	Savoja
Saŭlo	Saŭlo
Sebastiano	Sebastiano
Semelo	Semelo
Semiramiso	Semiramiso
Septuaginto	Septuaginto
Sidonio	Sidonio
Sidono	Sidono
Sigismondo	Sigismondo
Siksto	Siksto
Simeono	Simeono
Simonido	Simonido
Siro	Siro
Sirtoj	Sirtoj
Sisterono	Sisterono
Siu-urbo	Siu-urbo
Sizifa	Sizifa
Siĥemo	Siĥemo
Skitio	Skitio
Socinanismo	Socinanismo
Socinano	Socinano
Socinismo	Socinismo
Socino	Socino
Sokotro	Sokotro
Sokrata	Sokrata
Solimano	Solimano
Solono	Solono
Sonjo	Sonjo
Sorabio	Sorabio
Spartakano	Spartakano
Spartakisto	Spartakisto
Stanislao	Stanislao
Staĥanovo	Staĥanovo
Stefanino	Stefanino
Stentoro	Stentoro
Stikso	Stikso
Stimfalo	Stimfalo
Stuartoj	Stuartoj
Sud-Tirolo	Sud-Tirolo
Suetonio	Suetonio
Sullo	Sullo
Sulpicio	Sulpicio
Suzio	Suzio
Taboro	Taboro
Tadeo	Tadeo
Tamulio	Tamulio
Tanganjikio	Tanganjikio
Tantrismo	Tantrismo
Tantroj	Tantroj
Tarkvinio	Tarkvinio
Tarpejo	Tarpejo
Tartaro	Tartaro
Tartufo	Tartufo
Tarŝiŝo	Tarŝiŝo
Tasso	Tasso
Tatario	Tatario
